Messreihe Frequenzsweep Ladestrom Akku: AC ist Effektivwert
Frequenz Start/Stopp/Delta: 5/200/5 Hz, Sin-Min: 20 mA, Sin-Max: 60 mA

f [Hz]; U_DC [v]; I_DC [mA]; U_AC [v]; I_AC [mA]; R_Diff [Ohm]; Phi [deg]; Phi [rad] 

5;1.331;39.5130;0.0211;13.8072;1.528;13.9570;0.24360
10;1.334;39.5118;0.0186;13.8066;1.348;13.9099;0.24277
15;1.335;39.5107;0.0173;13.8071;1.254;13.3793;0.23351
20;1.337;39.5100;0.0165;13.8071;1.192;12.8399;0.22410
25;1.339;39.5118;0.0159;13.8078;1.150;12.3233;0.21508
30;1.340;39.5120;0.0154;13.8075;1.118;11.8527;0.20687
35;1.342;39.5117;0.0151;13.8076;1.092;11.4514;0.19986
40;1.343;39.5089;0.0148;13.8080;1.071;11.0887;0.19353
45;1.345;39.5125;0.0145;13.8086;1.053;10.7719;0.18801
50;1.346;39.5089;0.0143;13.8073;1.038;10.4872;0.18304
55;1.347;39.5097;0.0141;13.8079;1.025;10.2410;0.17874
60;1.348;39.5079;0.0140;13.8081;1.013;10.0297;0.17505
65;1.350;39.5070;0.0138;13.8054;1.002;9.8290;0.17155
70;1.351;39.5103;0.0137;13.8102;0.992;9.6565;0.16854
75;1.352;39.5057;0.0136;13.8077;0.984;9.4803;0.16546
80;1.353;39.5100;0.0135;13.8071;0.976;9.3079;0.16245
85;1.354;39.5040;0.0134;13.8085;0.968;9.1488;0.15968
90;1.355;39.5096;0.0133;13.8068;0.961;9.0340;0.15767
95;1.356;39.5120;0.0132;13.8061;0.955;8.9025;0.15538
100;1.357;39.5090;0.0131;13.8067;0.949;8.7751;0.15315
105;1.358;39.5138;0.0130;13.8057;0.944;8.6334;0.15068
110;1.359;39.5105;0.0130;13.8085;0.939;8.5477;0.14918
115;1.360;39.5100;0.0129;13.8106;0.934;8.4495;0.14747
120;1.361;39.5113;0.0128;13.8082;0.929;8.3529;0.14579
125;1.362;39.5078;0.0128;13.8058;0.925;8.2791;0.14450
130;1.363;39.5132;0.0127;13.8057;0.921;8.1981;0.14308
135;1.363;39.5002;0.0127;13.8022;0.917;8.1205;0.14173
140;1.364;39.5078;0.0126;13.8052;0.914;8.0477;0.14046
145;1.365;39.5023;0.0126;13.8045;0.910;7.9924;0.13949
150;1.366;39.5028;0.0125;13.8062;0.907;7.9234;0.13829
155;1.367;39.4984;0.0125;13.8057;0.903;7.8643;0.13726
160;1.367;39.5088;0.0124;13.8077;0.900;7.8124;0.13635
165;1.368;39.5084;0.0124;13.8067;0.897;7.7543;0.13534
170;1.369;39.5041;0.0123;13.8041;0.894;7.7025;0.13443
175;1.370;39.5178;0.0123;13.8061;0.891;7.6451;0.13343
180;1.370;39.5194;0.0123;13.8117;0.889;7.5773;0.13225
185;1.371;39.5147;0.0122;13.8092;0.887;7.5390;0.13158
190;1.372;39.5185;0.0122;13.8108;0.884;7.5155;0.13117
195;1.372;39.5131;0.0122;13.8076;0.882;7.4627;0.13025
