Messreihe Ladevorgang Akku: AC ist Effektivwert
Frequenz: 100 Hz, Sin-Min: 100 mA, Sin-Max: 120 mA

t [s]; U_DC [v]; I_DC [mA]; R_DC [Ohm]; U_AC [v]; I_AC [mA]; R_Diff [Ohm]; C [mAh] 

0;1.359;93.2854;14.566;0.025764;6.9118;3.7275; 0.5
5;1.397;93.2860;14.971;0.011296;6.9114;1.6344; 0.9
10;1.502;93.2837;16.098;0.008104;6.9122;1.1723; 1.4
15;1.536;93.2775;16.464;0.007908;6.9116;1.1442; 1.9
20;1.554;93.2750;16.662;0.007743;6.9105;1.1204; 2.3
25;1.566;93.2699;16.795;0.007608;6.9112;1.1008; 2.8
30;1.576;93.2670;16.894;0.007516;6.9108;1.0875; 3.3
35;1.583;93.2630;16.971;0.007444;6.9118;1.0770; 3.7
40;1.588;93.2595;17.028;0.007379;6.9113;1.0677; 4.2
45;1.592;93.2577;17.076;0.007325;6.9102;1.0601; 4.7
50;1.596;93.2499;17.117;0.007280;6.9103;1.0536; 5.1
55;1.599;93.2508;17.151;0.007240;6.9099;1.0478; 5.6
60;1.602;93.2482;17.180;0.007203;6.9100;1.0424; 6.1
65;1.604;93.2457;17.207;0.007170;6.9098;1.0377; 6.5
70;1.607;93.2403;17.233;0.007138;6.9105;1.0329; 7.0
75;1.609;93.2382;17.254;0.007103;6.9108;1.0278; 7.5
80;1.611;93.2398;17.274;0.007074;6.9115;1.0235; 7.9
85;1.612;93.2381;17.291;0.007044;6.9115;1.0191; 8.4
90;1.614;93.2360;17.309;0.007017;6.9114;1.0152; 8.9
95;1.616;93.2322;17.329;0.006991;6.9106;1.0116; 9.3
100;1.617;93.2308;17.347;0.006968;6.9101;1.0084; 9.8
105;1.619;93.2293;17.361;0.006942;6.9106;1.0046;10.3
110;1.619;93.2266;17.370;0.006911;6.9110;1.0000;10.7
115;1.621;93.2259;17.383;0.006885;6.9111;0.9962;11.2
120;1.622;93.2228;17.400;0.006867;6.9107;0.9936;11.7
125;1.622;93.2232;17.397;0.006826;6.9110;0.9877;12.1
130;1.622;93.2208;17.400;0.006792;6.9103;0.9829;12.6
135;1.623;93.2169;17.413;0.006774;6.9107;0.9803;13.1
140;1.625;93.2195;17.436;0.006769;6.9103;0.9795;13.5
145;1.626;93.2160;17.448;0.006748;6.9104;0.9764;14.0
150;1.627;93.2153;17.453;0.006719;6.9100;0.9724;14.5
156;1.628;93.2128;17.463;0.006700;6.9097;0.9697;14.9
161;1.629;93.2119;17.474;0.006680;6.9104;0.9666;15.4
166;1.630;93.2071;17.483;0.006656;6.9100;0.9633;15.9
171;1.630;93.2096;17.488;0.006632;6.9099;0.9598;16.3
176;1.631;93.2064;17.497;0.006614;6.9103;0.9571;16.8
181;1.630;93.2059;17.490;0.006575;6.9090;0.9516;17.2
186;1.630;93.2071;17.492;0.006550;6.9100;0.9480;17.7
191;1.632;93.2049;17.506;0.006535;6.9095;0.9458;18.2
196;1.633;93.2049;17.523;0.006529;6.9089;0.9449;18.6
201;1.635;93.2010;17.540;0.006518;6.9089;0.9434;19.1
206;1.637;93.2028;17.559;0.006508;6.9088;0.9420;19.6
211;1.638;93.1995;17.573;0.006492;6.9098;0.9395;20.0
216;1.638;93.2003;17.573;0.006466;6.9096;0.9358;20.5
221;1.638;93.1984;17.575;0.006444;6.9083;0.9328;21.0
226;1.636;93.1994;17.555;0.006399;6.9089;0.9261;21.4
231;1.635;93.1991;17.545;0.006365;6.9091;0.9213;21.9
236;1.635;93.1948;17.541;0.006335;6.9094;0.9168;22.4
241;1.635;93.1916;17.546;0.006316;6.9089;0.9142;22.8
246;1.636;93.1906;17.558;0.006305;6.9090;0.9126;23.3
251;1.636;93.1903;17.561;0.006282;6.9086;0.9093;23.8
256;1.635;93.1930;17.548;0.006248;6.9091;0.9044;24.2
261;1.637;93.1925;17.562;0.006238;6.9083;0.9030;24.7
266;1.636;93.1897;17.561;0.006216;6.9094;0.8996;25.2
271;1.636;93.1888;17.555;0.006187;6.9094;0.8954;25.6
276;1.635;93.1893;17.543;0.006154;6.9099;0.8905;26.1
281;1.633;93.1870;17.527;0.006114;6.9090;0.8849;26.6
286;1.633;93.1879;17.520;0.006084;6.9096;0.8805;27.0
291;1.634;93.1874;17.538;0.006086;6.9087;0.8810;27.5
296;1.635;93.1832;17.547;0.006073;6.9094;0.8790;28.0
301;1.635;93.1875;17.545;0.006052;6.9091;0.8759;28.4
306;1.636;93.1819;17.561;0.006049;6.9085;0.8755;28.9
311;1.638;93.1849;17.580;0.006046;6.9089;0.8751;29.4
316;1.640;93.1835;17.597;0.006044;6.9085;0.8749;29.8
321;1.640;93.1798;17.600;0.006029;6.9085;0.8727;30.3
327;1.640;93.1792;17.599;0.006010;6.9079;0.8700;30.8
332;1.641;93.1778;17.612;0.006003;6.9083;0.8689;31.2
337;1.642;93.1738;17.620;0.005992;6.9089;0.8673;31.7
342;1.643;93.1770;17.631;0.005988;6.9092;0.8666;32.2
347;1.644;93.1755;17.643;0.005983;6.9083;0.8660;32.6
352;1.645;93.1741;17.650;0.005968;6.9094;0.8638;33.1
357;1.645;93.1735;17.652;0.005956;6.9092;0.8620;33.6
362;1.644;93.1735;17.645;0.005933;6.9092;0.8587;34.0
367;1.644;93.1742;17.641;0.005913;6.9088;0.8559;34.5
372;1.644;93.1740;17.640;0.005897;6.9087;0.8535;35.0
377;1.644;93.1725;17.645;0.005886;6.9089;0.8520;35.4
382;1.644;93.1712;17.650;0.005874;6.9091;0.8502;35.9
387;1.645;93.1694;17.651;0.005859;6.9088;0.8481;36.4
392;1.644;93.1725;17.645;0.005840;6.9095;0.8451;36.8
397;1.644;93.1684;17.641;0.005821;6.9085;0.8426;37.3
402;1.645;93.1719;17.651;0.005816;6.9093;0.8418;37.8
407;1.645;93.1708;17.659;0.005809;6.9089;0.8408;38.2
412;1.645;93.1670;17.653;0.005788;6.9092;0.8377;38.7
417;1.644;93.1664;17.646;0.005768;6.9085;0.8349;39.1
422;1.645;93.1681;17.654;0.005763;6.9089;0.8342;39.6
427;1.645;93.1667;17.659;0.005754;6.9086;0.8329;40.1
432;1.644;93.1641;17.651;0.005732;6.9086;0.8298;40.5
437;1.644;93.1664;17.651;0.005721;6.9082;0.8281;41.0
442;1.643;93.1641;17.640;0.005698;6.9095;0.8246;41.5
447;1.643;93.1618;17.635;0.005678;6.9087;0.8218;41.9
452;1.643;93.1644;17.633;0.005665;6.9082;0.8200;42.4
457;1.643;93.1620;17.636;0.005654;6.9092;0.8184;42.9
462;1.644;93.1605;17.645;0.005655;6.9081;0.8186;43.3
467;1.645;93.1614;17.654;0.005651;6.9083;0.8180;43.8
472;1.645;93.1598;17.660;0.005646;6.9088;0.8172;44.3
477;1.645;93.1587;17.659;0.005633;6.9086;0.8154;44.7
482;1.645;93.1629;17.658;0.005620;6.9074;0.8137;45.2
487;1.645;93.1567;17.663;0.005616;6.9088;0.8128;45.7
492;1.646;93.1589;17.668;0.005608;6.9091;0.8117;46.1
498;1.645;93.1570;17.662;0.005592;6.9089;0.8094;46.6
503;1.645;93.1557;17.659;0.005579;6.9087;0.8076;47.1
508;1.644;93.1556;17.653;0.005564;6.9099;0.8052;47.5
513;1.644;93.1554;17.647;0.005548;6.9086;0.8031;48.0
518;1.644;93.1555;17.647;0.005538;6.9087;0.8017;48.5
523;1.644;93.1545;17.651;0.005535;6.9088;0.8012;48.9
528;1.645;93.1529;17.656;0.005530;6.9079;0.8006;49.4
533;1.645;93.1537;17.663;0.005527;6.9087;0.8001;49.9
538;1.646;93.1532;17.667;0.005511;6.9078;0.7977;50.3
543;1.646;93.1496;17.671;0.005505;6.9086;0.7968;50.8
548;1.647;93.1525;17.677;0.005504;6.9089;0.7967;51.3
553;1.647;93.1514;17.681;0.005499;6.9088;0.7959;51.7
558;1.647;93.1497;17.679;0.005489;6.9077;0.7947;52.2
563;1.647;93.1506;17.680;0.005484;6.9092;0.7937;52.7
568;1.647;93.1506;17.678;0.005475;6.9083;0.7925;53.1
573;1.647;93.1523;17.680;0.005471;6.9094;0.7918;53.6
578;1.647;93.1489;17.683;0.005466;6.9095;0.7912;54.1
583;1.647;93.1508;17.680;0.005441;6.9085;0.7876;54.5
588;1.647;93.1482;17.680;0.005434;6.9093;0.7865;55.0
593;1.647;93.1505;17.679;0.005428;6.9089;0.7856;55.5
598;1.647;93.1475;17.679;0.005419;6.9084;0.7844;55.9
603;1.647;93.1490;17.678;0.005413;6.9091;0.7835;56.4
608;1.647;93.1479;17.684;0.005415;6.9080;0.7839;56.8
613;1.648;93.1469;17.688;0.005397;6.9084;0.7812;57.3
618;1.649;93.1494;17.699;0.005401;6.9088;0.7817;57.8
623;1.649;93.1466;17.705;0.005405;6.9094;0.7822;58.2
628;1.650;93.1492;17.709;0.005404;6.9080;0.7823;58.7
633;1.650;93.1453;17.714;0.005409;6.9092;0.7829;59.2
638;1.650;93.1474;17.717;0.005407;6.9099;0.7825;59.6
643;1.650;93.1429;17.717;0.005386;6.9095;0.7795;60.1
648;1.651;93.1438;17.721;0.005391;6.9083;0.7803;60.6
653;1.651;93.1458;17.729;0.005400;6.9087;0.7816;61.0
658;1.652;93.1464;17.738;0.005411;6.9099;0.7831;61.5
663;1.652;93.1460;17.740;0.005389;6.9085;0.7801;62.0
669;1.653;93.1453;17.746;0.005396;6.9089;0.7810;62.4
674;1.654;93.1438;17.754;0.005402;6.9097;0.7818;62.9
679;1.654;93.1438;17.760;0.005412;6.9092;0.7833;63.4
684;1.655;93.1448;17.764;0.005403;6.9089;0.7821;63.8
689;1.655;93.1403;17.771;0.005412;6.9095;0.7832;64.3
694;1.656;93.1406;17.778;0.005416;6.9092;0.7839;64.8
699;1.656;93.1445;17.784;0.005424;6.9085;0.7851;65.2
704;1.657;93.1397;17.791;0.005434;6.9092;0.7865;65.7
