Messreihe Ladevorgang Akku: AC ist Effektivwert
Frequenz: 100 Hz, Sin-Min: 100 mA, Sin-Max: 120 mA

t [s]; U_DC [v]; I_DC [mA]; R_DC [Ohm]; U_AC [v]; I_AC [mA]; R_Diff [Ohm]; C [mAh] 

0;1.424;93.2902;15.261;0.008833;6.9114;1.2780; 0.5
5;1.434;93.2893;15.368;0.007779;6.9103;1.1257; 0.9
10;1.459;93.2919;15.639;0.006532;6.9119;0.9450; 1.4
15;1.471;93.2880;15.768;0.006289;6.9117;0.9099; 1.9
20;1.482;93.2870;15.882;0.006147;6.9117;0.8893; 2.3
25;1.491;93.2846;15.987;0.006046;6.9109;0.8748; 2.8
30;1.500;93.2825;16.082;0.005953;6.9122;0.8613; 3.3
35;1.508;93.2767;16.171;0.005887;6.9119;0.8517; 3.7
40;1.516;93.2744;16.255;0.005828;6.9102;0.8434; 4.2
45;1.524;93.2727;16.335;0.005783;6.9107;0.8368; 4.7
50;1.530;93.2709;16.409;0.005735;6.9115;0.8297; 5.1
55;1.536;93.2715;16.473;0.005692;6.9116;0.8236; 5.6
60;1.542;93.2687;16.530;0.005651;6.9110;0.8177; 6.1
65;1.546;93.2645;16.579;0.005625;6.9114;0.8139; 6.5
70;1.550;93.2663;16.622;0.005600;6.9112;0.8103; 7.0
75;1.554;93.2626;16.660;0.005576;6.9114;0.8068; 7.5
80;1.557;93.2611;16.695;0.005552;6.9100;0.8034; 7.9
85;1.560;93.2608;16.725;0.005528;6.9105;0.7999; 8.4
90;1.562;93.2575;16.754;0.005509;6.9103;0.7972; 8.9
95;1.565;93.2554;16.780;0.005490;6.9096;0.7946; 9.3
100;1.567;93.2553;16.803;0.005469;6.9102;0.7915; 9.8
105;1.569;93.2547;16.825;0.005448;6.9111;0.7883;10.3
110;1.571;93.2578;16.844;0.005427;6.9110;0.7853;10.7
116;1.573;93.2534;16.864;0.005412;6.9109;0.7831;11.2
121;1.574;93.2514;16.882;0.005394;6.9102;0.7806;11.7
126;1.576;93.2523;16.898;0.005376;6.9110;0.7779;12.1
131;1.577;93.2510;16.914;0.005360;6.9097;0.7757;12.6
136;1.579;93.2507;16.929;0.005344;6.9106;0.7733;13.1
141;1.580;93.2496;16.944;0.005329;6.9102;0.7711;13.5
146;1.581;93.2470;16.958;0.005315;6.9103;0.7691;14.0
151;1.583;93.2460;16.971;0.005301;6.9103;0.7671;14.5
156;1.584;93.2464;16.984;0.005288;6.9110;0.7651;14.9
161;1.585;93.2446;16.996;0.005275;6.9103;0.7633;15.4
166;1.586;93.2440;17.008;0.005261;6.9104;0.7613;15.9
171;1.587;93.2409;17.020;0.005249;6.9105;0.7595;16.3
176;1.588;93.2399;17.031;0.005236;6.9110;0.7576;16.8
181;1.589;93.2397;17.041;0.005222;6.9113;0.7555;17.3
